Time,Event
09:30:05,Plant Node 1 is offline
09:30:05,Plant Node 2 is offline
09:30:05,Plant Node 3 is offline
09:30:05,Plant Node 4 is offline
09:30:05,Plant Node 5 is offline
09:30:05,Plant Node 6 is offline
09:30:05,Plant Node 7 is offline
09:30:05,Plant Node 8 is offline
09:30:05,Plant Node 9 is offline
09:30:05,Plant Node 10 is offline
09:30:05,Plant Node 11 is offline
09:30:05,Plant Node 12 is offline
09:30:05,Plant Node 13 is offline
09:30:05,Plant Node 14 is offline
09:30:05,Plant Node 15 is offline
09:30:05,Plant Node 16 is offline
09:30:05,Plant Node 17 is offline
09:30:05,Plant Node 18 is offline
09:30:05,Plant Node 19 is offline
09:30:05,Plant Node 20 is offline
09:30:05,Plant Node 21 is offline
09:30:05,Plant Node 22 is offline
09:30:05,Plant Node 23 is offline
09:30:05,Plant Node 24 is offline
09:30:05,Plant Node 25 is offline
09:30:05,Plant Node 26 is offline
09:30:05,Plant Node 27 is offline
09:30:05,Plant Node 28 is offline
09:30:05,Plant Node 29 is offline
09:30:05,Plant Node 30 is offline
09:30:05,Plant Node 31 is offline
09:30:05,Plant Node 32 is offline
09:30:05,Plant Node 33 is offline
09:30:05,Plant Node 34 is offline
09:30:05,Plant Node 35 is offline
09:30:05,Plant Node 36 is offline
09:30:05,Plant Node 37 is offline
09:30:05,Plant Node 38 is offline
09:30:05,Plant Node 39 is offline
09:30:05,Plant Node 40 is offline
09:30:05,Plant Node 41 is offline
09:30:05,Plant Node 42 is offline
09:30:05,Plant Node 43 is offline
09:30:05,Plant Node 44 is offline
09:30:05,Plant Node 45 is offline
09:30:05,Plant Node 46 is offline
09:30:05,Plant Node 47 is offline
09:30:05,Plant Node 48 is offline
09:30:05,Plant 2 back online
09:30:05,Plant 2 reported WATERED from bridge (moisture 51.0)
09:30:06,Plant 1 back online
09:30:06,Plant 1 reported UNDERWATERED from bridge (moisture 29.0)
09:30:33,Plant 1 reported UNDERWATERED from bridge (moisture 28.0)
09:30:34,Plant 1 reported UNDERWATERED from bridge (moisture 29.0)
09:30:41,Plant 1 reported UNDERWATERED from bridge (moisture 28.0)
09:30:46,Plant 1 reported UNDERWATERED from bridge (moisture 29.0)
09:30:47,Plant 1 reported UNDERWATERED from bridge (moisture 28.0)
09:34:44,Plant 1 reported UNDERWATERED from bridge (moisture 27.0)
09:34:45,Plant 1 reported UNDERWATERED from bridge (moisture 28.0)
09:34:47,Plant 1 reported UNDERWATERED from bridge (moisture 27.0)
09:34:50,Plant 1 reported UNDERWATERED from bridge (moisture 28.0)
09:34:52,Plant 1 reported UNDERWATERED from bridge (moisture 27.0)
09:36:19,Plant 1 reported UNDERWATERED from bridge (moisture 5.0)
09:36:20,Plant 1 reported UNDERWATERED from bridge (moisture 4.0)
09:36:24,Plant 1 reported UNDERWATERED from bridge (moisture 3.0)
09:36:25,Plant 1 reported OVERWATERED from bridge (moisture 80.0)
09:36:26,Plant 1 reported OVERWATERED from bridge (moisture 85.0)
09:36:27,Plant 1 reported OVERWATERED from bridge (moisture 81.0)
09:36:28,Plant 1 reported OVERWATERED from bridge (moisture 70.0)
09:36:29,Plant 1 reported UNDERWATERED from bridge (moisture 24.0)
09:36:30,Plant 1 reported UNDERWATERED from bridge (moisture 17.0)
09:36:31,Plant 1 reported WATERED from bridge (moisture 43.0)
09:36:32,Plant 1 reported WATERED from bridge (moisture 41.0)
09:36:34,Plant 1 reported UNDERWATERED from bridge (moisture 40.0)
09:36:38,Plant 1 reported UNDERWATERED from bridge (moisture 39.0)
09:36:40,Plant 1 reported UNDERWATERED from bridge (moisture 38.0)
09:36:43,Plant 1 reported UNDERWATERED from bridge (moisture 37.0)
09:36:51,Plant 1 offline (no data for 5s)
09:36:58,Plant 1 back online
09:36:58,Plant 1 reported WATERED from bridge (moisture 44.0)
09:36:59,Plant 1 reported WATERED from bridge (moisture 43.0)
09:37:03,Plant 1 reported WATERED from bridge (moisture 42.0)
09:37:15,Plant 1 reported WATERED from bridge (moisture 41.0)
09:37:35,Plant 1 reported UNDERWATERED from bridge (moisture 11.0)
09:37:36,Plant 1 reported UNDERWATERED from bridge (moisture 8.0)
09:37:38,Plant 1 reported UNDERWATERED from bridge (moisture 6.0)
09:37:39,Plant 1 reported UNDERWATERED from bridge (moisture 5.0)
09:37:41,Plant 1 reported UNDERWATERED from bridge (moisture 4.0)
09:37:43,Plant 1 reported UNDERWATERED from bridge (moisture 3.0)
09:37:44,User decided to reject Plant 1
09:37:44,Plant 1 reported UNDERWATERED from bridge (moisture 3.0)
09:37:46,Plant 1 reported UNDERWATERED from bridge (moisture 2.0)
09:37:49,Plant 1 reported UNDERWATERED from bridge (moisture 1.0)
09:37:51,Plant 1 reported UNDERWATERED from bridge (moisture 0.0)
09:38:00,User sent Plant 0001 to simulated Ridgeback as Plant_001
09:38:14,Plant 2 reported WATERED from bridge (moisture 50.0)
09:38:15,Plant 1 reported UNDERWATERED from bridge (moisture 23.0)
09:38:15,Plant 2 reported WATERED from bridge (moisture 51.0)
09:38:17,Plant 1 reported UNDERWATERED from bridge (moisture 22.0)
09:38:23,Plant 2 reported WATERED from bridge (moisture 50.0)
09:38:24,Plant 2 reported WATERED from bridge (moisture 51.0)
09:38:27,Plant 2 reported WATERED from bridge (moisture 50.0)
09:38:28,Plant 1 reported UNDERWATERED from bridge (moisture 21.0)
09:38:32,Plant 2 reported WATERED from bridge (moisture 51.0)
09:38:41,Plant 2 reported WATERED from bridge (moisture 50.0)
09:38:43,Plant 2 reported WATERED from bridge (moisture 51.0)
09:38:45,Plant 2 reported WATERED from bridge (moisture 50.0)
09:38:46,Plant 2 reported WATERED from bridge (moisture 51.0)
